"","암호화요양기호","요양기관명","종별코드명","시도코드명","시군구코드명","진료과목코드명","과목별 전문의수","좌표(X)","좌표(Y)"
"2879","JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQ5OSQyNjEyMjIjNTEjJDEjJDIjJDgz","최진소아청소년과의원","의원","서울","광진구","소아청소년과",1,127.0753243,37.5331387
"2880","JDQ4MTYyMiM3MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ5IyQ4MiQzNjE4MzIjNTEjJDEjJDIjJDgz","최진수 소아청소년과의원","의원","전남","순천시","소아청소년과",1,127.4896805,34.9733127
"2881","JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQzIyQ4OSQyNjEwMDIjNDEjJDEjJDgjJDgz","최진현소아청소년과의원","의원","경기","남양주시","소아청소년과",1,127.197829,37.7151239
"2882","JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ5MiQzNjEyMjIjNDEjJDEjJDgjJDgz","최하주소아청소년과의원","의원","서울","영등포구","소아청소년과",1,126.9091888,37.4952823
"2883","JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ3OSQzNjE0ODEjNTEjJDEjJDYjJDgz","최혁소아청소년과의원","의원","충북","충주시","소아청소년과",1,127.9406077,36.9827686
"2884","JDQ4MTAxMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQxMyQ0NjEwMDIjNDEjJDEjJDgjJDgz","최홍주소아청소년과의원","의원","부산","부산사하구","소아청소년과",1,128.9747845,35.1055624
"2885","JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ5MiQ0NjEwMDIjNDEjJDEjJDgjJDgz","추소아청소년과의원","의원","울산","울산중구","소아청소년과",1,129.2667096,35.5631246
"2886","JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ5OSQ0NjEwMDIjODEjJDEjJDYjJDgz","친구들소아청소년과의원","의원","경기","용인기흥구","소아청소년과",2,127.0718775,37.2758482
"2887","JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQ2MiQzNjE4MzIjNTEjJDEjJDIjJDgz","코끼리소아청소년과의원","의원","부산","부산남구","소아청소년과",1,129.0808921,35.1385714
"2888","JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxOTYxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNTEjJDEjJDYjJDgz","코끼리소아청소년과의원","의원","세종시","세종시","소아청소년과",1,127.2998473,36.4853119
"2889","JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQ1IyQ3MiQzNjE0ODEjNTEjJDEjJDIjJDgz","코끼리소아청소년과의원","의원","경기","화성시","소아청소년과",1,127.1133874,37.1999195
"2890","JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ3MiQzNjEyMjIjODEjJDEjJDYjJDgz","코알라소아청소년과의원","의원","경기","안산단원구","소아청소년과",1,126.8057788,37.3234528
"2891","JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ4OSQyNjEwMDIjNDEjJDEjJDgjJDgz","쿠키연합소아청소년과의원","의원","대구","대구달서구","소아청소년과",2,128.5218076,35.8155397
"2892","JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQ1IyQwMyQyNjEwMDIjODEjJDEjJDIjJDgz","퀸스메디소아청소년과의원","의원","서울","노원구","소아청소년과",3,127.0729837,37.6245329
"2893","JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ3MiQzNjEwMDIjODEjJDEjJDIjJDgz","퀸스산부인과의원","의원","충남","천안서북구","소아청소년과",2,127.1378335,36.826474
"2894","JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ5OSQ0NjEwMDIjNDEjJDEjJDgjJDgz","큰별소아청소년과의원","의원","광주","광주광산구","소아청소년과",1,126.8232111,35.1877238
"2895","JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ5MiQ0NjE0ODEjNDEjJDEjJDgjJDgz","큰사랑소아청소년과의원","의원","전남","광양시","소아청소년과",1,127.694308,34.9353788
"2896","JDQ4MTYyMiM1MSMkMiMkNCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ3MiQ0NjE0ODEjODEjJDEjJDYjJDgz","키다리소아청소년과의원","의원","강원","원주시","소아청소년과",1,127.8726745,37.3822288
"2897","JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQxMyQ0NjEwMDIjNTEjJDEjJDYjJDgz","키드키드 소아청소년과의원","의원","경북","경산시","소아청소년과",1,128.7179627,35.8271546
"2898","JDQ4MTYyMiM3MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ5MiQzNjE4MzIjNjEjJDEjJDgjJDgz","키앤아이소아청소년과의원","의원","광주","광주서구","소아청소년과",1,126.8414403,35.1437115
"2899","JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzUxIyQyIyQxIyQwMCQyNjE0ODEjNjEjJDEjJDQjJDgz","키앤키즈의원","의원","서울","송파구","소아청소년과",1,127.0842018,37.5120894
"2900","JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ3OSQzNjE4MzIjODEjJDEjJDIjJDgz","키우리소아청소년과의원","의원","충북","청주흥덕구","소아청소년과",1,127.4264585,36.6433461
"2901","JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ5MiQyNjEwMDIjNTEjJDEjJDIjJDgz","키움성장의원","의원","서울","서초구","소아청소년과",1,127.0010992,37.5043414
"2902","JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQxMyQyNjE4MzIjODEjJDEjJDIjJDgz","키즈드림소아청소년과의원","의원","경기","시흥시","소아청소년과",1,126.7897393,37.3788762
"2903","JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQ2MiQzNjEyMjIjNjEjJDEjJDQjJDgz","키즈맘소아청소년과의원","의원","서울","송파구","소아청소년과",1,127.1132814,37.5203138
"2904","JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxOTYxIzExIyQxIyQzIyQwMyQzNjEyMjIjNDEjJDEjJDgjJDgz","키즈맘소아청소년과의원","의원","충남","아산시","소아청소년과",1,127.0051349,36.7830534
"2905","JDQ4MTYyMiM1MSMkMiMkNCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQwMyQzNjEyMjIjNjEjJDEjJDAjJDgz","키즈메디소아청소년과의원","의원","강원","홍천군","소아청소년과",1,127.8816456,37.6880778
"2906","JDQ4MTYyMiM1MSMkMiMkNCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQxMyQyNjE4MzIjODEjJDEjJDIjJDgz","키즈메디소아청소년과의원","의원","강원","원주시","소아청소년과",1,127.9312335,37.3341487
"2907","JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQ3MiQ0NjEwMDIjNjEjJDEjJDgjJDgz","키즈메디소아청소년과의원","의원","울산","울산남구","소아청소년과",1,129.2548934,35.5520066
"2908","JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQwMyQyNjE4MzIjODEjJDEjJDYjJDgz","키즈쑥쑥소아청소년과의원","의원","서울","성북구","소아청소년과",1,127.0182733,37.5993028
"2909","JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQ3MiQzNjEyMjIjODEjJDEjJDYjJDgz","키즈엘소아청소년과의원","의원","서울","광진구","소아청소년과",1,127.0681986,37.5327596
"2910","JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQ5OSQzNjEwMDIjNjEjJDEjJDAjJDgz","키즈엠소아청소년과의원","의원","경기","성남중원구","소아청소년과",1,127.1343224,37.417014
